Date,League,Team 1,Score,Team 2,League Name
05.07. 02:30,G-CUP,Costa Rica,6:5,Martinique+1,Gold Cup
05.07. 02:30,USA MLS,FC Dallas,0:1,DC United,USA Major League Soccer
05.07. 03:30,USA MLS,Colorado Rapids,abgesagt,Portland Timbers,USA Major League Soccer
05.07. 04:30,USA MLS,LA Galaxy*,2:1,Los Angeles FC,USA Major League Soccer
05.07. 12:00,JPN 2,Oita Trinita,0:3,Machida Zelvia,Japan J-League 2
05.07. 12:00,JPN 2,Renofa Yamaguchi,1:0,Montedio Yamagata,Japan J-League 2
05.07. 12:00,JPN 2,Fagiano Okayama,2:3,Fujieda Myfc,Japan J-League 2
05.07. 12:00,JPN 2,Jubilo Iwata,2:1,Zweigen Kanazawa,Japan J-League 2
05.07. 12:00,JPN 2,Ventforet Kofu,5:1,Blaublitz Akita,Japan J-League 2
05.07. 12:00,JPN 2,Tokyo Verdy,1:2,V-Varen Nagasaki,Japan J-League 2
05.07. 12:00,JPN 2,Omiya Ardija,2:1,JEF Utd Ichihara,Japan J-League 2
05.07. 12:00,JPN 2,Thespakusatsu,1:1,Roasso Kumamoto,Japan J-League 2
05.07. 12:00,JPN 2,Mito Hollyhock,3:1,Tokushima Vortis,Japan J-League 2
05.07. 12:00,JPN 2,Iwaki FC,1:0,Tochigi SC,Japan J-League 2
05.07. 12:00,JPN 2,Vegalta Sendai,0:3,Shimizu S-Pulse,Japan J-League 2
05.07. 13:30,TEN ATP,"Lehecka, Jiri",3:0,"Ofner, Sebastian",Tennis ATP
05.07. 13:30,TEN ATP,"Raonic, Milos",3:1,"Novak, Dennis",Tennis ATP
05.07. 13:30,TEN ATP,"Tiafoe, Frances",3:0,"Wu, Yibing",Tennis ATP
05.07. 13:30,TEN WTA,"Sakkari, Maria",1:2,"Kostyuk, Marta",Tennis WTA
05.07. 15:00,COSAFAC,Eswatini,0:1,Botswana,COSAFA Cup
05.07. 16:55,TEN WTA,"Minnen, Greet",0:2,"Ostapenko, Jelena",Tennis WTA
05.07. 17:00,FS,Austria Wien AUT,2:0,FAC AUT,Freundschaftsspiele International (Klub)
05.07. 17:00,FIN CUP,IFK Mariehamn,1:1,Kuopio PS,Finnland Cup
05.07. 17:30,FIN CUP,Salpa,1:3,FC Honka,Finnland Cup
