Num,Date,Time,League,Team 1,Score,Team 2,League Name
111,18.06.,19:30,ESP 2,SD Huesca,1:2,CD Mirandes,Spanien Segunda Division
112,18.06.,19:30,ESP 2,Numancia CD,1:2,Cadiz CF,Spanien Segunda Division
113,18.06.,19:45,TUR CUP,Alanyaspor,4:0,Antalyaspor,Türkei Türkiye Kupasi
114,18.06.,20:00,POR 1,Boavista FC,3:1,Vitoria Setubal,Portugal Primeira Liga
115,18.06.,20:00,DEN 1,FC Midtjylland,0:0,Bröndby IF,Dänemark Superligaen
116,18.06.,20:30,GER 2,Arminia Bielefeld,1:0,SV Darmstadt 98,Deutschland 2. Bundesliga
117,18.06.,21:45,ESP 2,Alcorcon AD,0:2,Sporting Gijon,Spanien Segunda Division
118,18.06.,22:00,ESP 1,Real Madrid,3:0,FC Valencia,Spanien Primera Division
119,18.06.,22:00,ESP 1,Real Madrid,3:1,FC Valencia+1,Spanien Primera Division
120,18.06.,22:15,POR 1,Sporting Lissabon,2:0,CD Tondela,Portugal Primeira Liga
