Date,League,Team 1,Score,Team 2,League Name
17.07. 11:30,AUS CUP,Newcastle Jets*,2:2,Melbourne Victory,"Australien, FFA Cup"
17.07. 17:00,FIN 1,FC Inter Turku,1:1,Kuopio PS,Finnland Veikkausliiga
17.07. 17:30,ROU 1,FC Voluntari,2:1,FC Botosani,Rumänien Liga 1
17.07. 17:30,BUL 1,Lokomotive Sofia,1:0,Botev Vratsa,Bulgarien Premier League
17.07. 19:00,SWE 1,Varbergs BoIS,1:2,AIK Stockholm,Schweden Allsvenskan
17.07. 19:00,SWE 1,Varbergs BoIS+1,2:2,AIK Stockholm,Schweden Allsvenskan
17.07. 19:00,SWE 1,Djurgardens IF,2:0,Malmö FF,Schweden Allsvenskan
17.07. 19:00,SWE 1,Djurgardens IF,2:1,Malmö FF+1,Schweden Allsvenskan
17.07. 19:00,SWE 1,Djurgardens IF+1,3:0,Malmö FF,Schweden Allsvenskan
17.07. 19:00,SWE 2,Örebro SK,0:0,Trelleborgs FF,Schweden Superettan
17.07. 19:45,BUL 1,Et. Veliko Tarnovo,0:1,PFC Slavia Sofia,Bulgarien Premier League
17.07. 20:30,ROU 1,Dinamo Bukarest,0:2,CS Uni Craiova,Rumänien Liga 1
17.07. 21:00,CHI 1,Palestino,1:1,Coquimbo Unido,Chile Primera Divison
17.07. 21:15,ISL 1,Stjarnan Gardab.,2:0,Valur Reykjavik,Island Bestadeild
17.07. 23:00,ARG 1,CA Tigre,0:1,Barracas Central,Argentinien Primera Division
17.07. 23:00,ARG 1,Arsenal de Sarandi,0:2,Instituto Cordoba,Argentinien Primera Division
18.07. 00:30,CHI 1,Union Espanola,3:0,Univers. de Chile,Chile Primera Divison
18.07. 01:00,BRA 1,Goias EC GO,0:0,Atletico MG,Brasilien Brasilero Serie A
18.07. 01:30,ARG 1,Newell's Old B.,0:0,Atletico Tucuman,Argentinien Primera Division
