Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
087,04.06. 19:00,ISR 2,Hapoel Ashkelon,2:1,Bnei Sakhnin FC,?,Israel National League
088,04.06. 19:00,ISR 2,Hapoel Bnei Lod,1:1,H. Petach Tikva,?,Israel National League
089,04.06. 19:00,POR 1,Maritimo Funchal,1:1,Vitoria Setubal,?,Portugal Primeira Liga
090,04.06. 20:15,POR 1,Benfica Lissabon,0:0,CD Tondela,?,Portugal Primeira Liga
091,04.06. 20:40,POL 2,GKS Tychy 71,1:1,Zaglebie Sosnowiec,?,Polen I Liga
092,04.06. 22:15,POR 1,Vitoria Guimaraes,2:2,Sporting Lissabon,?,Portugal Primeira Liga
093,04.06. 22:15,POR 1,Vitoria Guimaraes,2:3,Sporting Lissab.+1,?,Portugal Primeira Liga
094,04.06. 23:00,CRC 1,Limon FC,0:2,Municipal Grecia,?,Costa Rica Primera División
095,05.06. 03:00,CRC 1,Guadalupe FC,3:0,LD Alajuelense,?,Costa Rica Primera División
096,06.06. 17:00,AUT BL,SKN St. Pölten,1:1,FK Austria Wien,?,"Österreich Bundesliga, Qualifikationsgruppe"
097,06.06. 17:00,AUT BL,SCR Altach,1:1,WSG Swarovs. Tirol,?,"Österreich Bundesliga, Qualifikationsgruppe"
098,06.06. 17:00,AUT BL,Admira Wacker,0:2,SV Mattersburg,?,"Österreich Bundesliga, Qualifikationsgruppe"
099,07.06. 17:00,AUT BL,Wolfsberger AC,3:3,LASK Linz,?,Österreich Bundesliga
100,07.06. 17:00,AUT BL,TSV Hartberg,0:6,RB Salzburg,?,Österreich Bundesliga
101,07.06. 19:30,AUT BL,SK Rapid Wien,4:0,SK Sturm Graz,?,Österreich Bundesliga
102,05.06. 18:30,AUT 2,SV Horn,1:1,FC Liefering,?,Österreich Zweite Liga
103,05.06. 18:30,AUT 2,FC Dornbirn,0:4,SKU Amstetten,?,Österreich Zweite Liga
104,05.06. 18:30,AUT 2,Floridsdorfer AC,0:0,SK Vorwärts Steyr,?,Österreich Zweite Liga
105,05.06. 18:30,AUT 2,Young Violets A.W.,3:0,BW Linz,?,Österreich Zweite Liga
106,05.06. 20:25,AUT 2,SV Ried,3:1,SV Lafnitz,?,Österreich Zweite Liga
107,06.06. 15:00,AUT 2,FC Juniors OÖ,2:1,Wacker Innsbruck,?,Österreich Zweite Liga
108,06.06. 20:25,AUT 2,Grazer AK*,1:1,Austria Lustenau,?,Österreich Zweite Liga
109,07.06. 10:30,AUT 2,Austria Klagenfurt,3:2,Kapfenberger SV,?,Österreich Zweite Liga
110,05.06. 20:30,GER BL,SC Freiburg,1:0,Mönchengladbach,?,Deutschland Bundesliga
111,06.06. 15:30,GER BL,Fortuna Düsseldorf,2:2,TSG Hoffenheim,?,Deutschland Bundesliga
112,06.06. 15:30,GER BL,Eintr. Frankfurt,0:2,FSV Mainz 05,?,Deutschland Bundesliga
113,06.06. 15:30,GER BL,RB Leipzig,1:1,SC Paderborn,?,Deutschland Bundesliga
114,06.06. 15:30,GER BL,Bayer Leverkusen,2:4,FC Bayern München,?,Deutschland Bundesliga
115,06.06. 18:30,GER BL,Bor. Dortmund,1:0,Hertha BSC,?,Deutschland Bundesliga
116,07.06. 13:30,GER BL,Werder Bremen,0:1,VfL Wolfsburg,?,Deutschland Bundesliga
117,07.06. 15:30,GER BL,FC Union Berlin,1:1,FC Schalke 04,?,Deutschland Bundesliga
118,07.06. 18:00,GER BL,FC Augsburg,1:1,1. FC Köln,?,Deutschland Bundesliga
