Date,League,Team 1,Score,Team 2,League Name
05.03. 21:00,CL,Real Sociedad+1,2:2,Paris SG,UEFA Champions League
05.03. 23:00,CONCAC,CS Herediano CRC,2:0,SV Robinhood SUR,CONCACAF Champions Cup
05.03. 23:00,COPA S,Univ. Catolica CHI,0:2,Coquimbo Un. CHI,Copa Sudamericana
05.03. 23:00,COPA S,Real Tomayapo BOL,0:0,J.Wilstermann BOL,Copa Sudamericana
06.03. 01:00,CONCAC,Philadelphia U USA,0:0,CF Pachuca MEX,CONCACAF Champions Cup
06.03. 01:30,COPA S,Carabobo FC VEN,1:1,Metropolitanos VEN,Copa Sudamericana
06.03. 01:30,COPA S,Dep. Garcilaso PER,0:0,AD Tarma PER,Copa Sudamericana
06.03. 01:30,COPA L,Nacional Asunc PAR,0:2,Palestino CHI,Copa Libertadores
06.03. 03:00,COPA S,Dep.Tolima COL,0:0,Ind. Medellin COL,Copa Sudamericana
06.03. 03:00,CONCAC,Orlando City S USA,0:0,UANL Tigres MEX,CONCACAF Champions Cup
06.03. 18:00,GRE CUP,Aris Thessaloniki,0:0,Panaitolikos,Griechenland Cup
06.03. 18:00,EGY 1,Pyramids FC,1:1,Pharco FC,Ägypten Premier League
06.03. 18:30,ITA C1A,Fiorenzuola 1922,0:3,Triestina Calcio,"Italien Lega Pro Prima Divisione, Girone A"
06.03. 18:30,ITA C1A,Novara Calcio,1:1,AC Renate,"Italien Lega Pro Prima Divisione, Girone A"
06.03. 18:30,ITA C1C,US Foggia,2:0,AZ Picerno,"Italien, Lega Pro Prima Divisione, Girone C"
06.03. 18:30,ITA C1C,Messina FC,0:1,FC Crotone,"Italien, Lega Pro Prima Divisione, Girone C"
06.03. 18:30,ITA C1C,US Avellino,5:2,Catania Calcio,"Italien, Lega Pro Prima Divisione, Girone C"
06.03. 18:30,ITA C1C,AC Monopoli,2:2,SSD Brindisi,"Italien, Lega Pro Prima Divisione, Girone C"
