Date,League,Team 1,Score,Team 2,League Name
30.07. 16:00,BEL 1,KAA Gent,3:2,KV Kortrijk,Belgien Jupiler Pro League
30.07. 16:30,SUI SL,Yverdon-Sport,2:2,Young Boys Bern,Schweiz Super League
30.07. 16:30,SUI SL,FC Basel,5:2,FC Winterthur,Schweiz Super League
30.07. 17:00,AUT BL,FK Austria Wien,0:3,SK Sturm Graz,Österreich Bundesliga
30.07. 17:00,AUT BL,FK Austria Wien+1,1:3,SK Sturm Graz,Österreich Bundesliga
30.07. 17:00,NOR 1,Sarpsborg 08,2:1,FK Haugesund,Norwegen Tippeligaen
30.07. 17:00,NOR 1,Rosenborg BK,3:2,Odds BK,Norwegen Tippeligaen
30.07. 17:00,NOR 1,Lilleström SK,3:1,HamKam,Norwegen Tippeligaen
30.07. 17:00,NOR 1,Brann Bergen,0:2,Viking FK,Norwegen Tippeligaen
30.07. 17:00,NOR 1,Aalesunds FK,1:0,Strömsgodset,Norwegen Tippeligaen
30.07. 17:30,SWE 1,IFK Göteborg,2:0,Kalmar FF,Schweden Allsvenskan
30.07. 18:00,DEN 1,Bröndby IF,1:2,Odense BK,Dänemark Superligaen
30.07. 18:30,BEL 1,Club Brügge,1:1,YR KV Mechelen,Belgien Jupiler Pro League
30.07. 19:15,BEL 1,St. Truiden VV,1:0,Standard Lüttich,Belgien Jupiler Pro League
30.07. 19:15,NOR 1,Bodö Glimt,0:2,Tromsö IL,Norwegen Tippeligaen
30.07. 20:00,SERB 1,Roter Stern B.,5:0,FK Vojvodina,Serbien Meridijan Superliga
31.07. 09:00,WM FR,Costa Rica Frauen,1:3,Sambia Frauen,"FIFA Weltmeisterschaft, Frauen"
31.07. 09:00,WM FR,Japan Frauen,4:0,Spanien Frauen,"FIFA Weltmeisterschaft, Frauen"
31.07. 12:00,WM FR,Irland Frauen,0:0,Nigeria Frauen,"FIFA Weltmeisterschaft, Frauen"
31.07. 12:00,WM FR,Kanada Frauen,0:4,Australien Frauen,"FIFA Weltmeisterschaft, Frauen"
31.07. 17:30,ROU 1,Petrolul Ploiesti,0:2,FC Voluntari,Rumänien Liga 1
31.07. 19:00,DEN 1,AGF Aarhus,1:3,FC Nordsjaelland,Dänemark Superligaen
31.07. 19:00,SWE 1,IK Sirius FK,0:1,AIK Stockholm,Schweden Allsvenskan
31.07. 19:00,SWE 1,Malmö FF,3:1,IFK Värnamo,Schweden Allsvenskan
31.07. 19:00,SWE 2,Utsiktens BK,1:1,Helsingborgs IF,Schweden Superettan
31.07. 19:00,SWE 2,Örebro SK,0:0,GAIS Göteborg,Schweden Superettan
